acta,codigo,maduro,edmundo,otros,total_validos,total_nulo,total_invalido
033257_435691_0231Acta0223.jpg,010122036.01.1.0001,194,349,26,569,0,0
033257_480851_0152Acta0144.jpg,010107008.01.1.0001,249,314,23,586,0,0
033257_573834_0109Acta0101.jpg,010107013.01.1.0001,99,298,17,414,0,0
033257_589844_0290Acta0282.jpg,010122011.03.1.0001,76,341,11,428,0,0
033257_679768_0070Acta0062.jpg,010115011.03.1.0001,52,348,9,409,0,0
033257_683129_0242Acta0234.jpg,010122015.01.1.0001,101,259,20,380,0,0
033257_696202_0331Acta0323.jpg,010115007.02.1.0001,161,384,14,559,0,0
033257_725151_0074Acta0066.jpg,010115015.02.1.0001,60,386,11,457,0,0
033257_742494_0298Acta0290.jpg,010122027.02.1.0001,58,311,6,375,0,0
033257_756439_0327Acta0319.jpg,010115005.02.1.0001,228,352,21,601,0,0
033257_766657_0161Acta0153.jpg,010107020.02.1.0001,111,276,11,398,0,0
033257_811585_0307Acta0299.jpg,010122001.02.1.0001,134,314,19,467,0,0
033257_845729_0131Acta0123.jpg,010107017.04.1.0001,130,334,16,480,0,0
033257_877431_0213Acta0205.jpg,010122043.04.1.0001,61,316,5,382,0,0
033257_895818_0048Acta0040.jpg,010115010.02.1.0001,205,311,17,533,0,0
033257_905164_0304Acta0296.jpg,010122007.02.1.0001,53,250,8,311,0,0
033257_918408_0344Acta0336.jpg,010115004.01.1.0001,214,386,17,617,0,0
033257_930838_0024Acta0016.jpg,010109004.02.1.0001,153,315,16,484,1,1
033257_945843_0302Acta0294.jpg,010122011.02.1.0001,74,351,14,439,0,0
035927_076891_0135Acta0083.jpg,140502002.02.1.0001,246,293,17,556,2,2
035927_088952_0096Acta0044.jpg,140501003.03.1.0001,189,313,18,520,0,0
035927_230537_0152Acta0100.jpg,141201006.01.1.0001,177,146,8,331,0,0
035927_380555_0078Acta0026.jpg,140501001.02.1.0001,237,323,15,575,0,0
035927_423636_0208Acta0156.jpg,140401003.04.1.0001,235,333,6,574,0,0
035927_501986_0115Acta0063.jpg,140501008.02.1.0001,174,313,14,501,0,0
035927_677455_0205Acta0153.jpg,140401003.02.1.0001,223,314,10,547,0,0
035927_773007_0197Acta0145.jpg,140401004.02.1.0001,213,338,18,569,0,0
035927_934848_0150Acta0098.jpg,141201004.01.1.0001,221,284,5,510,0,0
041989_006231_0101Acta0100.jpg,070102009.01.1.0001,19,66,1,86,0,0
041989_016496_0014Acta0013.jpg,070501003.01.1.0001,201,422,14,637,0,0
041989_395251_0060Acta0059.jpg,070101002.03.1.0001,133,389,11,533,0,0
041989_455234_0061Acta0060.jpg,070101002.04.1.0001,144,434,13,591,0,0
041989_515467_0044Acta0043.jpg,070501002.03.1.0001,143,378,15,536,0,0
041989_576235_0069Acta0068.jpg,070101003.01.1.0001,144,408,10,562,0,0
041989_731265_0029Acta0028.jpg,070501013.01.1.0001,96,219,12,327,0,0
041989_806558_0053Acta0052.jpg,071001013.02.1.0001,94,249,8,351,0,0
041989_935456_0024Acta0023.jpg,070501015.01.1.0001,147,241,10,398,0,0
041989_964210_0018Acta0017.jpg,071001001.01.1.0001,99,387,9,495,0,0
060551_511357_2024-07-29-0001.jpg,200301054.01.1.0001,110,56,7,173,0,0
060551_863307_2024-07-29-0001.jpg,200301006.02.1.0001,200,415,17,632,0,0
060551_917944_2024-07-29-0001.jpg,200301013.02.1.0001,225,360,10,595,0,0
151515_346311_2024-07-29-0002.jpg,130302005.02.1.0001,148,316,25,489,0,0
25384_035823_0225Acta0225.jpg,090702007.01.1.0001,75,57,3,135,0,0
25384_066872_0237Acta0237.jpg,090704002.01.1.0001,99,161,7,267,0,0
25384_218923_0191Acta0191.jpg,090707003.01.1.0001,138,120,13,271,0,0
25384_383813_0189Acta0189.jpg,090706009.01.1.0001,187,383,12,582,0,0
25384_662478_0228Acta0228.jpg,090701016.01.1.0001,102,122,4,228,0,0
25384_792846_0202Acta0202.jpg,090706009.02.1.0001,191,356,12,559,0,0
25384_798519_0181Acta0181.jpg,090705004.01.1.0001,114,168,1,283,0,0
25384_965507_0162Acta0162.jpg,090703003.01.1.0001,44,81,7,132,0,0
25384_989931_0213Acta0213.jpg,090702004.01.1.0001,70,97,5,172,0,0
388421_018293_0346Acta0129.jpg,030604002.01.1.0001,89,53,0,142,0,0
388421_030039_0253Acta0095.jpg,030603003.04.1.0001,199,295,13,507,0,0
388421_060476_0349Acta0131.jpg,030601003.04.1.0001,179,447,14,640,0,0
388421_127981_0167Acta0067.jpg,030603013.01.1.0001,268,212,18,498,1,1
388421_214059_0318Acta0121.jpg,030701019.02.1.0001,99,258,6,363,0,0
388421_249893_0312Acta0119.jpg,030701007.03.1.0001,185,340,19,544,0,0
388421_262938_0324Acta0123.jpg,030701021.01.1.0001,150,297,6,453,0,0
388421_431567_0303Acta0116.jpg,030701009.01.1.0001,162,195,15,372,0,0
388421_483781_0149Acta0059.jpg,030601020.02.1.0001,76,308,2,386,0,0
388421_549355_0250Acta0094.jpg,030701010.01.1.0001,128,322,12,462,0,0
388421_610487_0268Acta0103.jpg,030603004.04.1.0001,175,337,15,527,0,0
388421_620381_0285Acta0109.jpg,030603018.01.1.0001,176,143,11,330,0,0
388421_660523_0294Acta0112.jpg,030601001.01.1.0001,160,151,5,316,0,0
388421_749912_0110Acta0046.jpg,030601014.01.1.0001,133,385,11,529,0,0
388421_769725_0106Acta0045.jpg,030601009.03.1.0001,132,425,6,563,0,0
388421_865559_0116Acta0049.jpg,030601012.04.1.0001,167,321,10,498,0,0
388421_894418_0380Acta0144.jpg,030602001.01.1.0001,151,299,3,453,0,0
388421_918371_0098Acta0043.jpg,030601007.02.1.0001,109,467,8,584,0,0
388421_927656_0364Acta0136.jpg,030601013.02.1.0001,114,356,5,475,0,0
388421_945321_0174Acta0070.jpg,030601017.01.1.0001,129,364,8,501,0,0
388421_970948_0377Acta0143.jpg,030602005.01.1.0001,221,104,5,330,1,1
407938_067935_0048Acta0039.jpg,060801001.04.1.0001,91,381,6,478,0,0
407938_112671_0040Acta0031.jpg,060801001.02.1.0001,71,398,8,477,0,0
407938_244308_0033Acta0024.jpg,060803002.01.1.0001,120,49,3,172,0,0
408106_000610_0300Acta0299.jpg,010102015.01.1.0001,81,324,9,414,1,1
408106_014130_0159Acta0159.jpg,010101002.03.1.0001,114,310,20,444,0,0
408106_015839_0093Acta0093.jpg,010113040.01.1.0001,142,308,17,467,0,0
408106_020452_0117Acta0117.jpg,010113037.01.1.0001,89,306,8,403,0,0
408106_025687_0402Acta0382.jpg,240101003.02.1.0001,179,355,20,554,0,0
408106_025854_0095Acta0095.jpg,010113009.01.1.0001,335,344,30,709,0,0
408106_045675_0197Acta0196.jpg,010106004.03.1.0001,136,344,17,497,0,0
408106_062904_0274Acta0273.jpg,010102008.01.1.0001,118,328,13,459,0,0
408106_073085_0185Acta0185.jpg,010101001.02.1.0001,137,271,8,416,0,0
408106_078444_0378Acta0365.jpg,010120008.03.1.0001,119,322,11,452,0,0
408106_086930_0362Acta0350.jpg,131602011.06.1.0001,36,383,7,426,0,0
408106_137863_0485Acta0401.jpg,240107012.02.1.0001,170,351,11,532,0,0
408106_151364_0344Acta0342.jpg,010106004.04.1.0001,140,372,23,535,0,0
408106_154205_0453Acta0394.jpg,240101010.03.1.0001,172,406,23,601,0,0
408106_163607_0334Acta0333.jpg,010121002.05.1.0001,138,276,12,426,0,0
408106_174162_0078Acta0078.jpg,010113019.03.1.0001,139,274,15,428,0,0
408106_188884_0443Acta0391.jpg,240101005.04.1.0001,134,421,13,568,0,0
408106_195959_0058Acta0058.jpg,010113003.01.1.0001,166,268,12,446,0,0
408106_205969_0184Acta0184.jpg,010101001.01.1.0001,114,323,12,449,0,0
408106_229218_0176Acta0176.jpg,010101031.01.1.0001,99,196,10,305,0,0
408106_244922_0277Acta0276.jpg,010102006.04.1.0001,81,356,11,448,0,0
408106_248529_0381Acta0367.jpg,131602011.03.1.0001,25,382,1,408,0,0
408106_253952_0289Acta0288.jpg,010102011.03.1.0001,75,302,11,388,0,0
408106_254178_0432Acta0389.jpg,240101017.01.1.0001,143,409,12,564,0,0
408106_292346_0431Acta0389.jpg,240101007.01.1.0001,53,360,10,423,0,0
408106_298133_0508Acta0408.jpg,240105011.01.1.0001,178,358,20,556,0,0
408106_306164_0244Acta0243.jpg,010105005.02.1.0001,138,275,13,426,0,0
408106_308183_0288Acta0287.jpg,010102011.04.1.0001,63,287,9,359,0,0
408106_317763_0280Acta0279.jpg,010102009.01.1.0001,54,349,10,413,0,0
408106_321331_0310Acta0309.jpg,010121007.03.1.0001,78,276,6,360,0,0
408106_330720_0419Acta0386.jpg,240107016.01.1.0001,178,303,17,498,0,0
408106_343965_0414Acta0385.jpg,240101013.01.1.0001,141,354,14,509,0,0
408106_345717_0079Acta0079.jpg,010113019.04.1.0001,153,278,14,445,0,0
408106_352074_0248Acta0247.jpg,010105017.01.1.0001,254,259,12,525,0,0
408106_378878_0264Acta0263.jpg,010105008.06.1.0001,183,267,9,459,0,0
408106_380933_0339Acta0338.jpg,010113017.02.1.0001,105,269,12,386,0,0
408106_387187_0096Acta0096.jpg,010113042.01.1.0001,120,232,12,364,0,0
408106_394825_0317Acta0316.jpg,010121008.05.1.0001,90,321,8,419,0,0
408106_397197_0240Acta0239.jpg,010105010.01.1.0001,272,321,21,614,1,1
408106_403866_0126Acta0126.jpg,010113028.06.1.0001,70,284,8,362,0,0
408106_417687_0251Acta0250.jpg,010105016.01.1.0001,228,377,22,627,0,0
408106_443216_0250Acta0249.jpg,010105017.02.1.0001,262,280,20,562,0,0
408106_455056_0111Acta0111.jpg,010113010.01.1.0001,43,258,5,306,0,0
408106_458816_0370Acta0357.jpg,010120008.02.1.0001,107,327,8,442,0,0
408106_459995_0367Acta0354.jpg,010120008.05.1.0001,92,331,9,432,0,0
408106_468364_0042Acta0042.jpg,010113015.03.1.0001,34,317,5,356,0,0
408106_491292_0450Acta0393.jpg,240101009.03.1.0001,148,400,18,566,0,0
408106_494418_0050Acta0050.jpg,010113011.01.1.0001,74,319,12,405,0,0
408106_500715_0394Acta0379.jpg,010107022.03.1.0001,146,344,14,504,0,0
408106_515999_0345Acta0343.jpg,010106011.04.1.0001,105,303,6,414,0,0
408106_518923_0266Acta0265.jpg,010105008.08.1.0001,183,278,8,469,0,0
408106_526500_0124Acta0124.jpg,010113028.04.1.0001,70,306,18,394,1,1
408106_548872_0313Acta0312.jpg,010121011.02.1.0001,111,259,10,380,0,0
408106_572474_0407Acta0384.jpg,240103004.02.1.0001,174,271,18,463,0,0
408106_589048_0290Acta0289.jpg,010102011.01.1.0001,77,296,5,378,0,0
408106_610064_0328Acta0327.jpg,010121004.01.1.0001,48,348,13,409,0,0
408106_623270_0448Acta0393.jpg,240101020.01.1.0001,206,260,17,483,0,0
408106_634121_0015Acta0015.jpg,010103006.01.1.0001,139,237,21,397,1,1
408106_638219_0041Acta0041.jpg,010113015.02.1.0001,46,358,6,410,0,0
408106_644086_0495Acta0403.jpg,240107014.01.1.0001,163,369,10,542,0,0
408106_648690_0374Acta0361.jpg,010120008.01.1.0001,77,341,6,424,0,0
408106_660117_0097Acta0097.jpg,010113042.02.1.0001,93,260,19,372,0,0
408106_668259_0043Acta0043.jpg,010113015.04.1.0001,38,360,7,405,0,0
408106_707730_0368Acta0355.jpg,010120006.01.1.0001,133,331,15,479,0,0
408106_737252_0114Acta0114.jpg,010113036.01.1.0001,133,351,14,498,0,0
408106_744217_0023Acta0023.jpg,010103004.02.1.0001,154,270,13,437,0,0
408106_756034_0420Acta0386.jpg,240107018.01.1.0001,200,313,12,525,0,0
408106_756389_0088Acta0088.jpg,010113025.02.1.0001,42,208,3,253,0,0
408106_756891_0237Acta0236.jpg,010105005.03.1.0001,144,291,17,452,0,0
408106_781710_0120Acta0120.jpg,010113037.04.1.0001,96,320,17,433,0,0
408106_786485_0396Acta0379.jpg,010107022.01.1.0001,124,346,15,485,0,0
408106_786568_0083Acta0083.jpg,010113019.06.1.0001,165,327,17,509,0,0
408106_788377_0202Acta0201.jpg,010106010.02.1.0001,104,351,13,468,1,1
408106_793729_0261Acta0260.jpg,010105008.03.1.0001,157,251,16,424,0,0
408106_804556_0181Acta0181.jpg,010101009.02.1.0001,108,360,18,486,0,0
408106_828336_0054Acta0054.jpg,010113011.05.1.0001,72,334,7,413,0,0
408106_830773_0205Acta0204.jpg,010106010.04.1.0001,110,370,20,500,0,0
408106_842572_0265Acta0264.jpg,010105008.07.1.0001,169,260,9,438,0,0
408106_851055_0123Acta0123.jpg,010113028.03.1.0001,66,302,15,383,1,1
408106_917155_0233Acta0232.jpg,010105026.03.1.0001,167,286,15,468,0,0
408106_926201_0115Acta0115.jpg,010113036.02.1.0001,115,318,21,454,0,0
408106_952082_0036Acta0036.jpg,010113024.02.1.0001,62,332,16,410,0,0
408106_958606_0312Acta0311.jpg,010121007.01.1.0001,56,240,6,302,0,0
408106_978178_0262Acta0261.jpg,010105008.04.1.0001,161,272,13,446,0,0
408106_983539_0410Acta0384.jpg,240103006.01.1.0001,309,290,24,623,0,0
408106_988182_0478Acta0399.jpg,240107013.02.1.0001,198,298,5,501,0,0
408106_996182_0099Acta0099.jpg,010113030.02.1.0001,113,298,7,418,0,0
413833_593436_0226Acta0042.jpg,060901021.01.1.0001,124,122,20,266,0,0
417922_011681_0178Acta0166.jpg,150501005.01.1.0001,167,372,16,555,0,0
417922_169800_0115Acta0103.jpg,150901020.01.1.0001,167,371,18,556,0,0
417922_177918_0154Acta0142.jpg,150901014.01.1.0001,169,237,11,417,0,0
417922_216956_0127Acta0115.jpg,150201003.01.1.0001,129,375,13,517,0,0
417922_221024_0200Acta0188.jpg,150201005.02.1.0001,124,447,8,579,0,0
417922_265963_0145Acta0133.jpg,150901017.01.1.0001,100,191,3,294,0,0
417922_297134_0140Acta0128.jpg,150901016.01.1.0001,89,118,5,212,0,0
417922_355818_0269Acta0257.jpg,150202002.02.1.0001,203,387,22,612,0,0
417922_527664_0272Acta0260.jpg,150201022.01.1.0001,170,203,13,386,0,0
417922_540850_0203Acta0191.jpg,150201001.02.1.0001,117,367,13,497,0,0
417922_587637_0211Acta0199.jpg,150202013.01.1.0001,198,227,13,438,0,0
417922_615821_0258Acta0246.jpg,150303001.01.1.0001,140,346,10,496,0,0
417922_641653_0110Acta0098.jpg,150902002.02.1.0001,129,411,6,546,0,0
417922_688845_0116Acta0104.jpg,150901020.03.1.0001,153,384,15,552,0,0
417922_724683_0202Acta0190.jpg,150201010.01.1.0001,96,329,8,433,0,0
417922_778209_0113Acta0101.jpg,150902006.01.1.0001,128,189,11,328,0,0
417922_780952_0176Acta0164.jpg,150501012.01.1.0001,254,281,11,546,0,0
417922_895542_0183Acta0171.jpg,150201009.01.1.0001,173,344,15,532,0,0
417922_954956_0173Acta0161.jpg,150501001.01.1.0001,144,303,9,456,0,0
417922_955284_0289Acta0277.jpg,150501002.01.1.0001,139,316,9,464,0,0
417922_975357_0284Acta0272.jpg,150305005.01.1.0001,153,340,8,501,0,0
417922_976918_0251Acta0239.jpg,150305001.02.1.0001,82,351,15,448,0,0
437250_098185_0288Acta0288.jpg,141001003.02.1.0001,193,240,11,444,0,0
437250_178288_0260Acta0260.jpg,140604005.01.1.0001,156,140,12,308,0,0
437250_362646_0267Acta0267.jpg,141301007.01.1.0001,113,182,9,304,0,0
